ENT,NOM_ENT ,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,POB_EDADNE,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LEN,PCDISC_AUD,PCDISC_M_A,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_C,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRI,PAFIL_OTRA,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN,VPH_SINTIC
1,Aguascalientes,1425607,728924,696683,71864,35604,36260,463335,1352235,692561,659674,1299669,666713,632956,1116719,576593,540126,1038904,538387,500517,960764,500089,460675,78833,38679,40154,156683,77289,79394,181905,89383,92522,77815,38206,39609,78140,38298,39842,180847,90632,90215,388917,145376,78703,66673,95.58,385195,941834,97070,1508,2.11,1133247,576781,556466,276430,144420,132010,1232234,635320,596914,56422,27956,28466,2539,1043,1496,25,13,12,2461,1012,1449,2508,22,2437,5552,22425,11211,11214,71294,34507,29888,9297,12989,12726,12967,165482,49636,103289,8940,30298,6368,34556,20169,1177938,31495,15371,16124,4941,2292,2649,6812,2901,3911,55493,28286,27207,59978,31114,28864,3178,1318,1860,21908,11762,10146,25567,13286,12281,65609,33542,32067,122405,64730,57675,30347,12806,17541,288036,151759,136277,467249,240419,226830,10.35,10.32,10.38,706930,293533,413397,407903,282320,125583,692983,289268,403715,13947,4265,9682,262088,1161139,780525,92771,3786,3196,271996,1680,31789,3179,402370,593273,120740,386445,119453,266992,1421200,395735,1025465,463972,386671,453099,375798,386011,386445,60327,16974,1421200,3.68,0.89,382634,2899,86423,299141,6390,30686,348487,384361,1210,383430,355192,2137,295903,152521,382597,1011,383148,2379,380982,184,382121,130744,876,365189,335710,238571,240381,45642,105752,312002,370411,177149,147818,359895,236003,174089,98724,70126,6021,15323,128996,1711
2,Baja California,3769020,1868431,1900589,149957,74010,75947,1061893,3610844,1790298,1820546,3494500,1732417,1762083,3069620,1524170,1545450,2882498,1432330,1450168,2698908,1342615,1356293,175286,86624,88662,365938,179504,186434,434167,212675,221492,187122,91840,95282,183590,89715,93875,472408,231535,240873,1039305,379302,200551,178751,101.72,878303,2637218,245280,8219,1.9,2136493,1055376,1081117,1463949,735208,728741,3221141,1610239,1610902,211416,103000,108416,49130,22740,26390,1324,901,423,46830,21644,25186,48638,1257,46413,102613,64362,30469,33893,151945,69741,66704,23568,27966,30235,28095,361269,103981,230524,23627,66531,19935,66867,52519,3213665,86433,42514,43919,21579,10248,11331,14446,6473,7973,142012,71232,70780,162584,82865,79719,9438,4009,5429,52496,28441,24055,88570,45388,43182,164850,81599,83251,343342,175101,168241,112922,49493,63429,721812,363284,358528,1338625,658499,680126,10.2,10.18,10.22,2010898,833398,1177500,1034874,685921,348953,1984462,825213,1159249,26436,8185,18251,836317,2905265,1995530,152274,86380,14012,515855,19862,131967,44490,1085236,1601569,377658,1148913,379379,769534,3739800,1187752,2552048,1325949,1149563,1236142,1059756,1144251,1148913,119411,56975,3739800,3.26,0.9,1118684,22576,342666,798841,59355,189174,892967,1132622,8947,1117719,1069538,23823,122201,71176,1091956,44752,1101573,39745,1085176,3062,1087646,332788,5204,1086226,946647,730313,800176,66156,155157,740452,1071379,576454,576806,1080169,800189,618175,384011,216865,41223,38772,293529,9582
3,Baja California Sur,798447,392568,405879,35963,17821,18142,236629,758642,372818,385824,732150,359663,372487,637296,313087,324209,597552,293482,304070,557976,274334,283642,39870,19707,20163,81476,40024,41452,94845,46621,48224,39744,19605,20139,39576,19148,20428,92636,44858,47778,216574,75608,38655,36953,103.39,197053,549039,48513,3842,1.9,470255,234464,235791,313283,151310,161973,652733,323274,329459,72475,34292,38183,13581,5931,7650,162,109,53,13248,5765,7483,13495,157,13168,29401,26330,12463,13867,35383,15659,16378,5113,6363,6575,6489,90233,23685,58631,5368,15418,3572,18138,10423,663217,14736,7116,7620,2915,1407,1508,2215,1004,1211,32242,16011,16231,29318,14879,14439,2156,853,1303,13926,7314,6612,19124,9756,9368,36989,17597,19392,65249,31477,33772,21184,9178,12006,138355,66291,72064,292807,146506,146301,10.34,10.4,10.28,427280,174233,253047,207713,138094,69619,420525,172203,248322,6755,2030,4725,129270,664122,408856,101745,2549,10772,139342,3576,12335,2516,213360,350345,72985,240468,76323,164145,793424,242023,551401,299873,240660,286051,226838,239358,240468,35776,23437,793424,3.3,1.01,226784,11234,83834,154268,31013,38337,168738,235285,2826,226124,210742,11973,195709,64637,230755,5610,231864,6170,220917,450,229382,73154,1493,219805,164034,115666,161315,18099,28452,142908,214312,108948,91750,226517,148723,136538,67961,36197,14508,8675,77223,2608
4,Campeche,928363,471424,456939,45541,22506,23035,286880,878528,446774,431754,845134,430162,414972,730335,373837,356498,682951,350650,332301,637189,328098,309091,50104,24850,25254,98089,48087,50002,112766,55251,57515,47384,23187,24197,45762,22552,23210,105934,53399,52535,251520,102616,52320,50296,96.93,241118,613113,69838,4294,2.1,716025,364562,351463,199443,100331,99112,814049,415100,398949,27860,13950,13910,91801,45081,46720,2479,1636,843,88686,43166,45520,91020,2458,87926,182867,19319,9784,9535,52259,25298,23964,8086,10744,9396,9679,112956,36108,73471,7852,20370,5284,19984,12314,753271,15028,7322,7706,4762,2267,2495,4548,2209,2339,33731,16778,16953,37620,18613,19007,3149,1387,1762,39986,22915,17071,46922,25746,21176,58721,29676,29045,77156,40667,36489,19925,9195,10730,172718,91601,81117,285453,142069,143384,9.63,9.52,9.74,462607,186762,275845,266137,186405,79732,456296,185018,271278,6311,1744,4567,203304,719677,288186,62638,2070,32088,327334,8950,7441,2914,229890,415151,84699,260725,81072,179653,926854,268706,658148,321634,260824,312770,251960,260221,260725,42196,18614,926854,3.55,1.12,251811,7150,116234,142732,38000,57062,163902,255453,3516,248625,223034,10343,188401,52939,245200,5610,245656,13279,236503,889,243050,128025,5559,218630,201206,86222,89762,64350,62159,136266,226163,87769,68843,218322,114020,151613,38508,17976,23627,36397,130361,12028
5,Coahuila de Zaragoza,3146771,1583102,1563669,160368,79095,81273,982841,2980244,1500922,1479322,2860700,1441917,1418783,2475441,1252864,1222577,2316332,1174267,1142065,2157771,1096368,1061403,177691,87469,90222,327112,160589,166523,375447,184431,191016,159109,78597,80512,158561,77899,80662,375036,185189,189847,826197,348537,183179,165358,98.77,824280,2086745,229587,6159,2.06,2711206,1365165,1346041,398612,200206,198406,2762766,1397625,1365141,83587,39123,44464,5527,2202,3325,40,17,23,5393,2143,3250,5481,37,5352,11516,45976,22565,23411,134816,64602,57381,20223,27060,29181,21766,302543,90118,196190,18476,63967,15040,49128,35073,2683785,70545,34456,36089,12535,5927,6608,11664,5396,6268,118638,59301,59337,122912,60118,62794,6477,2676,3801,38606,19500,19106,49119,24650,24469,115209,60230,54979,268423,141622,126801,59780,27815,31965,668396,340523,327873,1050411,521603,528808,10.43,10.36,10.51,1484935,581668,903267,984416,669313,315103,1450922,572990,877932,34013,8678,25335,597373,2540708,2085705,193655,6136,8001,181821,12289,82868,30846,795950,1384623,293547,900883,257311,643572,3137032,817308,2319724,1078048,901249,1043108,866309,900275,900883,129872,46927,3137032,3.48,0.84,890952,7270,220857,677432,14549,74407,809324,895921,2396,889513,859115,8789,598397,122510,882547,11349,886984,11235,879659,538,880714,321539,2308,870949,780014,574724,554420,67634,167028,642682,863515,367970,372132,824291,519599,443659,195883,124077,17020,46420,332298,5754
6,Colima,731391,370769,360622,29614,14483,15131,209402,699821,355305,344516,677122,344007,333115,592408,302457,289951,556272,284755,271517,520033,266970,253063,34469,17025,17444,72944,35823,37121,85323,41826,43497,36136,17702,18434,36239,17785,18454,83767,41917,41850,197212,91557,48063,43494,97.26,173163,494510,61762,1956,2.06,525860,266764,259096,193703,98633,95070,636207,325164,311043,35221,17187,18034,5210,2322,2888,189,114,75,4970,2186,2784,5109,158,4901,9770,13574,6859,6715,39880,19767,17487,5817,7856,7240,7434,87325,26318,55672,5506,16466,3642,17522,10032,597614,11887,5919,5968,3288,1539,1749,3220,1415,1805,27964,14198,13766,31032,16202,14830,2254,966,1288,18734,9464,9270,23896,11920,11976,43853,21468,22385,66596,33860,32736,19492,8463,11029,130565,67906,62659,253137,130854,122283,10.05,10.1,9.99,386642,164334,222308,204200,137542,66658,380902,162558,218344,5740,1776,3964,123074,605947,362244,49082,1259,11047,179704,2774,9344,3016,201601,313938,76630,226853,78777,148076,728297,238959,489338,288978,227050,278552,216624,226445,226853,47329,14599,728297,3.21,0.96,219978,5756,73164,152586,11457,42001,172292,224634,1121,224122,218820,1634,168639,56894,224485,255,224708,1039,222876,174,224381,92021,1493,211596,170380,98535,117854,36845,41614,155254,206844,90200,80251,206736,132395,114164,43881,22695,9173,12085,82366,2698
7,Chiapas,5543828,2837881,2705947,334055,165892,168163,2093426,5181929,2658046,2523883,4941832,2538697,2403135,4087924,2115667,1972257,3745908,1946645,1799263,3422558,1785639,1636919,363406,180185,183221,730599,362194,368405,830275,410912,419363,342016,169022,172994,323350,161006,162344,667750,343841,323909,1461928,507757,256576,251181,95.35,1770076,3396877,349031,27844,2.34,5276515,2704331,2572184,174961,87981,86980,4854836,2501235,2353601,56588,26818,29770,1459648,745048,714600,397179,245442,151737,1036366,485787,550579,1387295,350942,1010257,1835102,56532,28182,28350,227878,103682,99666,48723,58315,51178,49743,420261,141360,267165,33942,94798,23737,69398,53259,4843797,136319,67146,69173,50265,24856,25409,62614,32538,30076,198079,96025,102054,144620,70053,74567,69380,33237,36143,512720,322586,190134,508631,307765,200866,512086,262823,249263,662419,345180,317239,116898,55477,61421,755926,399387,356539,1070250,516330,553920,7.78,7.5,8.09,2501341,947682,1553659,1571228,1162911,408317,2454255,936525,1517730,47086,11157,35929,1814782,3698663,672681,212030,46562,38656,2538415,169403,32965,31976,1355791,2311548,418392,1351023,358039,992984,5524499,1260991,4263508,1694405,1351630,1668330,1325555,1348105,1351023,241916,100859,5524499,4.09,1.32,1191940,149481,562888,778553,160201,339743,841484,1317473,23972,1207826,868303,133616,667487,415559,1178078,126568,1226871,114526,1129602,7736,1180905,953051,126493,870621,590197,245672,284758,153101,187556,734149,1036741,212970,159652,944695,292189,433400,61298,32460,214333,379915,993929,151655
8,Chihuahua,3741869,1888047,1853822,163950,80466,83484,1137537,3570280,1803755,1766525,3442944,1740545,1702399,2992667,1519335,1473332,2791907,1420305,1371602,2596693,1324460,1272233,191706,94545,97161,385907,189875,196032,461498,226948,234550,200760,99030,101730,195214,95845,99369,445186,221332,223854,993597,419821,224771,195050,98.19,942323,2512947,278960,7639,2.04,3061312,1553841,1507471,561040,279227,281813,3319444,1686393,1633051,89954,43506,46448,110498,56479,54019,11818,7570,4248,97700,48603,49097,106093,9903,95223,157671,60918,29942,30976,167788,81744,71310,25313,32143,34662,30480,394638,121999,253004,25018,78188,22186,73786,49299,3144228,91817,44925,46892,20602,9783,10819,19677,8917,10760,143221,72827,70394,155512,79307,76205,12187,5361,6826,73223,38189,35034,91273,46867,44406,189417,90718,98699,395022,197351,197671,81652,36251,45401,734711,387587,347124,1179575,595231,584344,10,10.02,9.98,1863623,759653,1103970,1122057,756710,365347,1829503,749737,1079766,34120,9916,24204,574108,3156294,2043251,172774,28073,10831,688684,31733,127454,120058,1019091,1598428,373002,1146395,388589,757806,3725031,1182399,2542632,1401765,1146915,1348614,1093764,1145185,1146395,186778,68072,3725031,3.25,0.8,1120637,21790,324559,818117,37607,133950,971111,1125620,17090,1125206,1048376,17437,407925,42464,1095308,32290,1105223,37136,1095836,5950,1093707,346643,15763,1081646,984232,822240,783621,77198,125791,795328,1068519,488724,460540,1051045,650546,481871,282049,179964,42113,64419,432032,20158
9,Ciudad de México,9209944,4805017,4404927,267151,131720,135431,2033581,8933167,4668454,4264713,8720414,4563147,4157267,7915499,4167530,3747969,7547545,3985698,3561847,7166737,3798760,3367977,324942,160337,164605,692726,340587,352139,838416,412683,425733,367954,181832,186122,380808,186938,193870,984186,487898,496288,2508606,1491619,853207,638412,91.67,1652773,6525440,1022105,9626,1.65,7404454,3807741,3596713,1679063,934710,744353,8327432,4373027,3954405,308686,160707,147979,125153,66922,58231,1032,674,358,122971,65818,57153,124540,1016,122379,289139,186914,95005,91909,493589,244406,210900,59979,114412,83316,85252,1141218,370714,731537,58899,258902,55719,226966,145428,7489519,90729,44344,46385,31704,15192,16512,23905,10935,12970,307359,154326,153033,446846,224403,222443,11841,5137,6704,107444,73765,33679,162484,96369,66115,277823,171549,106274,686827,399252,287575,195837,87488,108349,1468292,753306,714986,4516388,2341854,2174534,11.48,11.32,11.67,5099957,2316485,2783472,2798579,1843317,955262,4985469,2273939,2711530,114488,42546,71942,2502789,6689012,3881545,1128554,12484,104474,1203824,21158,444160,93084,3017529,3731096,1160556,2756319,1098365,1657954,9159392,3408051,5751341,3036239,2757433,2883154,2604348,2752169,2756319,207026,71780,9159392,3.32,0.8,2732051,16199,813453,1935230,136682,314544,2297404,2746872,1917,2719720,2655528,29004,2328798,1665465,2738826,4975,2744306,4207,2715805,175,2738936,1385629,6180,2580111,2279427,1843092,1289361,214550,550349,2165974,2647911,1649403,1898265,2536523,2084156,1290811,957162,568827,46172,77272,561128,10528
10,Durango,1832650,927784,904866,95793,47204,48589,612346,1733682,878981,854701,1661875,843666,818209,1416121,723423,692698,1315571,673942,641629,1217129,625493,591636,107941,52981,54960,209620,102577,107043,240724,118134,122590,100550,49481,51069,98442,48449,49993,218136,108354,109782,471321,209478,109566,99912,97.53,513904,1172629,142942,3175,2.32,1601990,811920,790070,210697,106016,104681,1606224,820635,785589,39250,19252,19998,47242,23800,23442,8515,5044,3471,37905,18363,19542,44242,6726,36712,58286,17311,8588,8723,101953,50851,43421,13917,19271,19359,17675,217850,69574,137023,12819,41629,9767,42329,22477,1499181,43907,21481,22426,7636,3560,4076,9062,3903,5159,69250,35567,33683,70077,35572,34505,5674,2354,3320,35779,18192,17587,39774,19843,19931,107408,50981,56427,173587,86084,87503,39818,17187,22631,389145,205171,183974,513240,265121,248119,9.75,9.82,9.67,818279,315196,503083,593095,406871,186224,796197,309943,486254,22082,5253,16829,461394,1366665,744664,185483,7012,8406,404554,16703,16765,5967,481785,757894,175677,493698,157252,336446,1821273,536132,1285141,632975,493989,614109,475123,493142,493698,102682,36304,1821273,3.69,0.91,474438,17650,122022,370077,11968,50211,429915,483167,8921,482430,410519,9676,383135,116819,459918,18039,467143,24896,461972,3412,458976,199759,9048,449272,381316,273963,273559,58736,128226,317430,457688,169760,137873,434450,215108,222785,73099,54664,22071,41801,243750,12446
11,Guanajuato,6166934,3170480,2996454,313928,154709,159219,1965943,5840957,3009728,2831229,5616039,2898336,2717703,4846712,2519535,2327177,4519193,2357595,2161598,4188942,2194170,1994772,337595,166540,171055,656650,323653,332997,769073,379072,390001,327519,161940,165579,330251,163425,166826,762428,384129,378299,1688054,681374,365780,315594,94.51,1635692,4052225,466968,12049,2.2,5549032,2861488,2687544,557773,279349,278424,5456347,2832717,2623630,117626,55496,62130,14048,6372,7676,231,131,100,12988,5841,7147,13828,198,12829,25976,108806,54891,53915,285615,142599,118833,43896,59516,56469,52829,613749,198352,387973,41007,126366,32844,118522,74494,5215707,128105,62986,65119,30727,14684,16043,38225,17591,20634,213101,110138,102963,210830,109050,101780,18396,7810,10586,238838,141120,97718,298291,162863,135428,380100,197680,182420,698339,361434,336905,134728,58337,76391,1319370,707292,612078,1535747,787716,748031,9.04,8.99,9.1,2997139,1207280,1789859,1828679,1306200,522479,2943208,1193933,1749275,53931,13347,40584,1275190,4874661,2259062,280660,15670,45080,2181882,22771,93767,25720,1678577,2682088,482966,1586531,522424,1064107,6144406,1894813,4249593,1992652,1587234,1953972,1548554,1584834,1586531,313437,91981,6144406,3.87,1.02,1543881,37095,404843,1176424,44581,218617,1318039,1573803,7532,1538307,1167600,42957,1279561,453354,1526508,17761,1531196,48923,1496966,2017,1518151,657475,9914,1464808,1277392,808648,803507,294365,582048,1133149,1497382,550020,529217,1381668,764350,681879,240833,167748,46126,134421,732192,20559
12,Guerrero,3540685,1840073,1700612,197506,97545,99961,1237843,3328762,1735307,1593455,3190810,1666726,1524084,2698742,1423659,1275083,2491307,1320619,1170688,2288425,1219393,1069032,207880,103017,104863,422140,208631,213509,491703,243060,248643,207435,103040,104395,202882,101226,101656,405625,210971,194654,910221,443534,237011,206523,92.42,1034961,2174538,316769,14417,2.54,3311109,1722691,1588418,195093,100013,95080,3118017,1634017,1484000,58096,28822,29274,515487,274512,240975,111372,67915,43457,395724,201969,193755,495585,100436,386765,691724,303923,156446,147477,213615,107763,91021,36130,49863,37624,41721,437069,161653,271328,31536,92837,21819,94969,46743,2855067,51181,25002,26179,16903,7980,8923,22606,10486,12120,143412,72288,71124,111043,57571,53472,25844,11191,14653,310327,188987,121340,297644,178031,119613,293173,154671,138502,362770,191486,171284,104467,49672,54795,495963,257758,238205,852693,444291,408402,8.37,8.23,8.53,1635187,684638,950549,1050902,735356,315546,1606120,677989,928131,29067,6649,22418,891961,2632004,506026,293979,12943,38016,1744754,36293,14282,9051,870839,1480994,346064,942043,334190,607853,3525670,1145999,2379671,1316263,942509,1253357,879603,939989,942043,233094,140660,3525670,3.74,1.29,803696,132012,425351,510403,147473,256749,531518,920890,14873,831768,633269,103991,547435,285156,807068,44060,824631,111043,748860,4703,801599,645126,49376,758141,430583,196137,234609,102923,87178,470329,759777,191317,252529,715753,298180,343146,56999,28577,125684,172608,599093,70622
13,Hidalgo,3082841,1601462,1481379,134738,66770,67968,958875,2944897,1533074,1411823,2841446,1481969,1359477,2458400,1292537,1165863,2288217,1208259,1079958,2120760,1125652,995108,156486,77332,79154,330011,163205,166806,394943,195148,199795,170183,84278,85905,167457,82607,84850,343236,174419,168817,837604,383675,204360,179315,92.5,791418,2023471,264746,3206,2.17,2447728,1262222,1185506,609940,326647,283293,2649672,1388651,1261021,172723,88967,83756,362629,186796,175833,28497,19093,9404,331650,166468,165182,356950,27788,326684,584693,48693,25108,23585,166965,74106,74924,24436,41241,29344,31380,413238,125372,268903,24697,91931,18551,88748,38551,2482249,56417,27713,28704,8887,4239,4648,9883,4281,5602,129871,66328,63543,120919,62142,58777,7361,3023,4338,151311,93511,57800,143099,86518,56581,188672,96393,92279,291654,149662,141992,58704,25166,33538,645662,341052,304610,874386,462909,411477,9.37,9.33,9.42,1502364,621532,880832,948956,668121,280835,1473904,613816,860088,28460,7716,20744,928550,2149373,744201,221985,10312,34160,1097048,22969,24978,21204,805091,1356692,295686,857174,264559,592615,3075177,830295,2244882,1198017,857462,1169653,829098,855830,857174,229124,111431,3075177,3.59,0.93,830388,24402,254360,600448,34730,118027,702041,847206,7630,821517,657305,33315,652744,193053,781898,50505,812005,42803,787518,2070,786509,443273,18262,708258,514108,297266,378990,86059,192405,579898,759456,261093,210637,727888,332320,378326,95701,64475,51691,102005,467376,26079
14,Jalisco,8348151,4249696,4098455,384145,190072,194073,2531145,7912955,4034076,3878879,7626117,3892287,3733830,6620690,3397067,3223623,6193111,3187212,3005899,5765955,2976352,2789603,431927,213822,218105,860338,423187,437151,1004575,493588,510987,427579,209855,217724,427156,210860,216296,993462,494980,498482,2223580,999085,539465,459620,96.44,2103989,5507037,686074,51051,2.1,7128608,3635678,3492930,1067778,539033,528745,7375785,3778045,3597740,198654,94457,104197,66963,32234,34729,6673,4101,2572,59300,27631,31669,65021,5689,58363,104858,139676,69356,70320,386577,199124,155613,57332,77924,75506,73987,826012,276051,503446,53378,174896,43550,169697,109590,7026046,170996,83580,87416,43720,20558,23162,46067,20579,25488,296893,152835,144058,321347,164416,156931,23738,9976,13762,179014,95755,83259,227359,119156,108203,501320,258654,242666,883372,461672,421700,208759,90084,118675,1485201,774113,711088,2673525,1365531,1307994,9.9,9.85,9.95,4244054,1765287,2478767,2344552,1623990,720562,4186717,1748352,2438365,57337,16935,40402,2452519,5835710,4149528,222298,9792,23536,1213421,17404,244435,60763,2420774,3445868,749243,2330706,794181,1536525,8303823,2643040,5660783,2960158,2332218,2844244,2216304,2327794,2330706,451590,176350,8303823,3.56,0.93,2276788,35773,573478,1739463,60893,280320,1971716,2305305,7728,2296611,2124316,16375,1797553,903638,2294184,3785,2294972,17165,2280385,1921,2290603,880468,9306,2207380,1933460,1325678,1303944,391395,604756,1697894,2201888,1034977,1009963,2134429,1437473,1199700,573528,375678,56399,96948,760439,17553
15,México,16992418,8741123,8251295,724133,357766,366367,5009259,16260058,8379157,7880901,15707805,8105314,7602491,13742847,7137483,6605364,12862124,6699582,6162542,11974932,6261545,5713387,834611,413191,421420,1682600,828483,854117,2024076,999706,1024370,880723,437901,442822,887192,438037,449155,2004632,1000798,1003834,4700984,1919454,1043149,876305,94.4,4122067,11603770,1258354,8227,1.95,11669688,5940122,5729566,5190562,2746909,2443653,15198264,7860389,7337875,433992,224107,209885,417603,220131,197472,5422,3703,1719,405775,213320,192455,415450,5345,403796,1026540,296264,149402,146862,756531,332266,353735,108644,167345,128661,131212,1928850,559098,1311932,113471,413380,94823,345634,205307,14186323,326438,160408,166030,76986,37116,39870,68394,31111,37283,685543,347722,337821,713951,361450,352501,31422,13814,17608,372454,248391,124063,452522,287294,165228,773815,436067,337748,1595527,871046,724481,375582,163854,211728,3358430,1711265,1647165,5814269,2965255,2849014,10.08,9.93,10.25,8544416,3549802,4994614,5162516,3571005,1591511,8364273,3495702,4868571,180143,54100,126043,5672574,11267677,5983389,828041,359266,141504,3449337,66031,276048,289383,4799091,7276393,1655175,4568635,1463108,3105527,16943520,4947702,11995818,5403492,4569533,5137408,4303449,4561381,4568635,611159,222800,16943520,3.71,0.95,4463581,92762,1416182,3141610,233287,709873,3614459,4543258,14765,4439141,3815549,118409,3552310,1763040,4403138,90488,4440083,112246,4348371,3991,4402471,2420030,34932,3913160,3308629,2260210,1943484,465964,1186929,3377753,4308399,1851854,2123211,4049493,2561525,1559564,822048,572663,133777,329132,1769551,53857
